YEAR,MONTH,DAY,PRECIPITATION,MAX TEMP,MIN TEMP,MEAN TEMP,YES/NO,FLORIDA CITY
1970,2,4,0.0,57.0,28.0,42.5,NO,Key Biscayne
1970,2,5,0.0,61.0,36.0,48.5,NO,North Port
1970,2,6,0.0,64.0,52.0,58.0,NO,Dundee
1970,2,7,0.22,69.0,53.0,61.0,NO,North Bay Village
1970,2,8,0.0,69.0,46.0,57.5,NO,Holmes Beach
1970,2,9,0.0,75.0,44.0,59.5,NO,Sneads
1970,2,10,0.0,68.0,40.0,54.0,NO,Oldsmar
1970,2,11,0.0,67.0,37.0,52.0,NO,Madison
1970,2,12,0.0,70.0,49.0,59.5,NO,Springfield
1970,2,13,0.0,68.0,45.0,56.5,NO,Cross City
1970,2,14,0.0,78.0,41.0,59.5,NO,Fort White
1970,2,15,0.0,80.0,53.0,66.5,NO,Westlake
1970,2,16,0.46,82.0,64.0,73.0,NO,Waldo
1970,2,17,0.65,72.0,60.0,66.0,NO,Tequesta
1970,2,18,0.0,67.0,55.0,61.0,NO,Graceville
1970,2,19,0.0,73.0,49.0,61.0,NO,Keystone Heights
1970,2,20,0.0,69.0,52.0,60.5,NO,Bradenton
1970,2,21,0.0,58.0,40.0,49.0,NO,Mangonia Park
1970,2,22,0.0,71.0,45.0,58.0,NO,Belleair Bluffs
1970,2,23,0.0,78.0,43.0,60.5,NO,Palm Springs
1970,2,24,0.0,77.0,43.0,60.0,NO,Safety Harbor
1970,2,25,0.05,77.0,51.0,64.0,NO,St. Augustine
1970,2,26,0.2,66.0,45.0,55.5,NO,Sunrise
1970,2,27,0.0,61.0,44.0,52.5,NO,Marathon
1970,2,28,0.0,71.0,45.0,58.0,NO,Jacksonville Beach
1970,2,29,0.15,81.62,62.84,72.26,NO,Palmetto
1970,3,1,0.0,79.0,45.0,62.0,NO,Weston
1970,3,2,0.0,80.0,55.0,67.5,NO,Naples
1970,3,3,0.0,78.0,54.0,66.0,NO,Ocean Ridge
1970,3,4,0.0,78.0,61.0,69.5,NO,Miami Shores
1970,3,5,0.55,72.0,61.0,66.5,NO,Highland Beach
1970,3,6,0.0,75.0,55.0,65.0,NO,Mary Esther
1970,3,7,0.0,76.0,54.0,65.0,NO,High Springs
1970,3,8,0.0,78.0,59.0,68.5,NO,Crystal River
1970,3,9,1.35,74.0,54.0,64.0,NO,Bunnell
1970,3,10,0.0,78.0,48.0,63.0,NO,El Portal
1970,3,11,0.0,78.0,53.0,65.5,NO,Cutler Bay
1970,3,12,0.95,85.0,61.0,73.0,NO,Madeira Beach
1970,3,13,0.0,76.0,60.0,68.0,NO,Surfside
1970,3,14,0.0,65.0,41.0,53.0,NO,Port Orange
1970,3,15,0.0,68.0,34.0,51.0,NO,Medley
1970,3,16,0.0,64.0,40.0,52.0,NO,Wildwood
1970,3,17,0.0,75.0,50.0,62.5,NO,Jupiter Island
1970,3,18,0.0,86.0,57.0,71.5,NO,Cape Coral
1970,3,19,0.0,85.0,61.0,73.0,NO,Lake Clarke Shores
1970,3,20,0.0,87.0,64.0,75.5,NO,Loxahatchee Groves
1970,3,21,0.0,86.0,63.0,74.5,NO,Lady Lake
1970,3,22,0.2,79.0,66.0,72.5,NO,Indiantown
1970,3,23,0.0,70.0,43.0,56.5,NO,North Miami
1970,3,24,0.0,78.0,46.0,62.0,NO,Jay
1970,3,25,0.0,77.0,44.0,60.5,NO,Greenville
1970,3,26,1.15,68.0,61.0,64.5,NO,Inverness
1970,3,27,0.0,69.0,55.0,62.0,NO,Altha
1970,3,28,0.18,88.0,61.0,74.5,NO,Inglis
1970,3,29,0.0,89.0,65.0,77.0,NO,Orlando
1970,3,30,0.0,90.0,62.0,76.0,NO,Polk City
1970,3,31,0.0,91.0,70.0,80.5,NO,Lazy Lake
1970,4,1,0.0,89.0,71.0,80.0,NO,Altamonte Springs
1970,4,2,0.0,88.0,68.0,78.0,NO,Delray Beach
1970,4,3,0.0,80.0,60.0,70.0,NO,West Park
1970,4,4,0.56,80.0,58.0,69.0,NO,Lauderdale Lakes
1970,4,5,0.0,77.0,63.0,70.0,NO,Live Oak
1970,4,6,0.0,73.0,62.0,67.5,NO,Wilton Manors
1970,4,7,0.0,75.0,51.0,63.0,NO,St. Cloud
1970,4,8,0.0,79.0,58.0,68.5,NO,Daytona Beach
1970,4,9,0.0,82.0,51.0,66.5,NO,Otter Creek
1970,4,10,0.0,84.0,54.0,69.0,NO,Frostproof
1970,4,11,0.0,81.0,59.0,70.0,NO,Sewall's Point
1970,4,12,0.4,84.0,64.0,74.0,NO,Caryville
1970,4,13,0.0,81.0,62.0,71.5,NO,Lighthouse Point
1970,4,14,0.0,87.0,58.0,72.5,NO,Anna Maria
1970,4,15,0.0,84.0,68.0,76.0,NO,Clewiston
1970,4,16,0.0,81.0,53.0,67.0,NO,Cooper City
1970,4,17,0.0,84.0,63.0,73.5,NO,North Palm Beach
1970,4,18,0.0,89.0,58.0,73.5,NO,Mount Dora
1970,4,19,0.0,88.0,62.0,75.0,NO,Interlachen
1970,4,20,0.0,92.0,64.0,78.0,NO,Arcadia
1970,4,21,0.0,93.0,66.0,79.5,NO,South Daytona
1970,4,22,0.0,92.0,68.0,80.0,NO,Cloud Lake
1970,4,23,0.0,90.0,69.0,79.5,NO,Alford
1970,4,24,0.0,89.0,66.0,77.5,NO,Gulfport
1970,4,25,0.0,88.0,64.0,76.0,NO,Montverde
1970,4,26,0.0,90.0,65.0,77.5,NO,Hialeah
1970,4,27,0.0,91.0,65.0,78.0,NO,Coleman
1970,4,28,0.0,93.0,65.0,79.0,NO,Palmetto Bay
1970,4,29,0.0,92.0,65.0,78.5,NO,West Melbourne
1970,4,30,0.0,88.0,65.0,76.5,NO,Bay Lake
1970,5,1,0.0,88.0,68.0,78.0,NO,Apopka
1970,5,2,0.0,85.0,65.0,75.0,NO,Malabar
1970,5,3,0.0,88.0,56.0,72.0,NO,Longwood
1970,5,4,0.0,92.0,64.0,78.0,NO,Parkland
1970,5,5,0.4,84.0,58.0,71.0,NO,Deltona
1970,5,6,0.0,85.0,55.0,70.0,NO,Winter Haven
1970,5,7,0.0,90.0,54.0,72.0,NO,Layton
1970,5,8,0.0,89.0,59.0,74.0,NO,Vero Beach
1970,5,9,0.0,88.0,65.0,76.5,NO,Newberry
1970,5,10,0.0,90.0,65.0,77.5,NO,Pompano Beach
1970,5,11,0.0,90.0,65.0,77.5,NO,Hilliard
1970,5,12,0.0,88.0,64.0,76.0,NO,Seminole
1970,5,13,0.0,89.0,58.0,73.5,NO,Dade City
1970,5,14,0.0,90.0,58.0,74.0,NO,Wewahitchka
1970,5,15,0.0,91.0,62.0,76.5,NO,Indian Harbour Beach
1970,5,16,0.0,91.0,60.0,75.5,NO,Crescent City
1970,5,17,0.0,91.0,63.0,77.0,NO,North Lauderdale
1970,5,18,0.2,84.0,61.0,72.5,NO,Bay Harbor Islands
1970,5,19,0.0,85.0,69.0,77.0,NO,Blountstown
1970,5,20,0.0,87.0,65.0,76.0,NO,Port St. Lucie
1970,5,21,0.0,87.0,65.0,76.0,NO,DeLand
1970,5,22,0.0,89.0,67.0,78.0,NO,Esto
1970,5,23,0.0,90.0,68.0,79.0,NO,Macclenny
1970,5,24,1.25,80.0,67.0,73.5,NO,Fellsmere
1970,5,25,0.0,91.0,70.0,80.5,NO,Melbourne Village
1970,5,26,0.0,92.0,66.0,79.0,NO,Laurel Hill
1970,5,27,0.0,92.0,65.0,78.5,NO,Miami Gardens
1970,5,28,0.1,90.0,68.0,79.0,NO,West Miami
1970,5,29,0.2,87.0,70.0,78.5,NO,St. Augustine Beach
1970,5,30,0.12,89.0,70.0,79.5,NO,Orchid
1970,5,31,0.1,89.0,70.0,79.5,NO,Pahokee
1970,6,1,0.0,90.0,73.0,81.5,NO,Umatilla
1970,6,2,0.0,90.0,72.0,81.0,NO,Cape Canaveral
1970,6,3,0.0,90.0,66.0,78.0,NO,Greenwood
1970,6,4,0.0,91.0,67.0,79.0,NO,Callahan
1970,6,5,1.71,88.0,76.0,82.0,NO,Green Cove Springs
1970,6,6,0.0,90.0,64.0,77.0,NO,White Springs
1970,6,7,0.0,90.0,63.0,76.5,NO,Satellite Beach
1970,6,8,0.0,85.0,63.0,74.0,NO,Lakeland
1970,6,9,0.0,84.0,62.0,73.0,NO,Lake Placid
1970,6,10,0.0,90.0,63.0,76.5,NO,Port St. Joe
1970,6,11,0.0,94.0,70.0,82.0,NO,Milton
1970,6,12,0.2,90.0,65.0,77.5,NO,Key West
1970,6,13,0.0,89.0,66.0,77.5,NO,Holly Hill
1970,6,14,0.0,92.0,67.0,79.5,NO,Groveland
1970,6,15,1.25,88.0,70.0,79.0,NO,Winter Garden
1970,6,16,0.07,88.0,70.0,79.0,NO,Ormond Beach
1970,6,17,0.0,89.0,72.0,80.5,NO,Indian Rocks Beach
1970,6,18,0.0,90.0,69.0,79.5,NO,Windermere
1970,6,19,0.0,95.0,68.0,81.5,NO,Moore Haven
1970,6,20,0.0,98.0,70.0,84.0,NO,Astatula
1970,6,21,0.0,95.0,70.0,82.5,NO,Fruitland Park
1970,6,22,0.0,97.0,71.0,84.0,NO,Fort Myers Beach
1970,6,23,0.0,91.0,71.0,81.0,NO,South Bay
1970,6,24,0.0,90.0,71.0,80.5,NO,Mexico Beach
1970,6,25,0.8,95.0,70.0,82.5,NO,North Redington Beach
1970,6,26,0.76,92.0,70.0,81.0,NO,St. Leo
1970,6,27,0.0,95.0,71.0,83.0,NO,Redington Beach
1970,6,28,1.3,90.0,67.0,78.5,NO,Port Richey
1970,6,29,0.05,85.0,67.0,76.0,NO,Quincy
1970,6,30,0.0,87.0,71.0,79.0,NO,Orange Park
1970,7,1,0.0,90.0,62.0,76.0,NO,Coral Gables
1970,7,2,0.0,97.0,67.0,82.0,NO,Miami Springs
1970,7,3,0.0,97.0,73.0,85.0,YES,Alachua
1970,7,4,0.0,96.0,68.0,82.0,NO,Oviedo
1970,7,5,0.12,92.0,70.0,81.0,NO,Clearwater
1970,7,6,0.0,95.0,70.0,82.5,NO,Indian Creek
1970,7,7,0.0,92.0,69.0,80.5,NO,Panama City
1970,7,8,0.0,94.0,70.0,82.0,NO,Jennings
1970,7,9,2.73,95.0,69.0,82.0,NO,Brooker
1970,7,10,3.0,90.0,69.0,79.5,NO,Fort Myers
1970,7,11,0.81,95.0,66.0,80.5,NO,Sanibel
1970,7,12,2.96,94.0,68.0,81.0,NO,Campbellton
1970,7,13,0.14,90.0,68.0,79.0,NO,Fanning Springs
1970,7,14,0.0,94.0,72.0,83.0,NO,Midway
1970,7,15,0.0,94.0,72.0,83.0,NO,Temple Terrace
1970,7,16,0.0,93.0,74.0,83.5,NO,Cedar Key
1970,7,17,1.7,94.0,69.0,81.5,NO,Ponce de Leon
1970,7,18,0.0,95.0,72.0,83.5,NO,Punta Gorda
1970,7,19,0.75,94.0,74.0,84.0,NO,Parker
1970,7,20,2.37,90.0,68.0,79.0,NO,Tallahassee
1970,7,21,0.11,88.0,67.0,77.5,NO,Rockledge
1970,7,22,0.84,90.0,70.0,80.0,NO,Paxton
1970,7,23,0.0,88.0,71.0,79.5,NO,Hawthorne
1970,7,24,0.0,92.0,73.0,82.5,NO,Greenacres
1970,7,25,0.0,91.0,72.0,81.5,NO,Palm Beach Gardens
1970,7,26,0.0,88.0,70.0,79.0,NO,Islamorada
1970,7,27,0.0,90.0,70.0,80.0,NO,St. Marks
1970,7,28,0.0,96.0,70.0,83.0,NO,Tavares
1970,7,29,0.0,95.0,70.0,82.5,NO,New Port Richey
1970,7,30,0.0,95.0,78.0,86.5,NO,Everglades City
1970,7,31,0.0,97.0,73.0,85.0,NO,Jacksonville
1970,8,1,0.0,97.0,72.0,84.5,NO,South Pasadena
1970,8,2,0.0,97.0,72.0,84.5,NO,Sebastian
1970,8,3,0.0,95.0,72.0,83.5,NO,Fort Lauderdale
1970,8,4,0.0,96.0,72.0,84.0,NO,St. Lucie Village
1970,8,5,0.0,95.0,72.0,83.5,NO,Highland Park
1970,8,6,0.0,93.0,71.0,82.0,NO,Grant-Valkaria
1970,8,7,0.0,95.0,70.0,82.5,NO,Fort Pierce
1970,8,8,0.35,96.0,71.0,83.5,NO,Margate
1970,8,9,1.24,90.0,70.0,80.0,NO,Apalachicola
1970,8,10,0.12,85.0,72.0,78.5,NO,Eatonville
1970,8,11,0.0,87.0,74.0,80.5,NO,Flagler Beach
1970,8,12,1.36,86.0,71.0,78.5,NO,Howey-in-the-Hills
1970,8,13,0.0,93.0,72.0,82.5,NO,Stuart
1970,8,14,0.0,94.0,71.0,82.5,NO,Boca Raton
1970,8,15,0.0,90.0,73.0,81.5,NO,Boynton Beach
1970,8,16,0.0,88.0,73.0,80.5,NO,Noma
1970,8,17,0.0,95.0,72.0,83.5,NO,Jacob City
1970,8,18,0.0,95.0,73.0,84.0,NO,Oakland Park
1970,8,19,0.0,92.0,71.0,81.5,NO,Lauderhill
1970,8,20,0.0,95.0,73.0,84.0,NO,Leesburg
1970,8,21,0.0,92.0,70.0,81.0,NO,Pinellas Park
1970,8,22,0.3,92.0,69.0,80.5,NO,Miramar
1970,8,23,0.0,95.0,70.0,82.5,NO,Welaka
1970,8,24,0.44,91.0,72.0,81.5,NO,Largo
1970,8,25,0.04,95.0,70.0,82.5,NO,Auburndale
1970,8,26,1.25,93.0,72.0,82.5,NO,Lee
1970,8,27,1.2,92.0,71.0,81.5,NO,Center Hill
1970,8,28,0.25,92.0,74.0,83.0,NO,Marianna
1970,8,29,0.0,94.0,73.0,83.5,NO,Penney Farms
1970,8,30,0.0,94.0,73.0,83.5,NO,LaBelle
1970,8,31,0.0,94.0,71.0,82.5,NO,Webster
1970,9,1,0.0,94.0,66.0,80.0,NO,Mayo
1970,9,2,0.0,93.0,70.0,81.5,NO,Virginia Gardens
1970,9,3,0.0,93.0,70.0,81.5,NO,Glen St. Mary
1970,9,4,0.0,95.0,71.0,83.0,NO,Southwest Ranches
1970,9,5,0.0,92.0,71.0,81.5,NO,Grand Ridge
1970,9,6,0.0,91.0,69.0,80.0,NO,Ocean Breeze
1970,9,7,1.05,93.0,70.0,81.5,NO,Avon Park
1970,9,8,0.0,92.0,69.0,80.5,NO,Oak Hill
1970,9,9,0.1,91.0,70.0,80.5,NO,Haines City
1970,9,10,0.0,94.0,71.0,82.5,NO,Vernon
1970,9,11,0.0,93.0,70.0,81.5,NO,Bonifay
1970,9,12,0.0,91.0,71.0,81.0,NO,Bell
1970,9,13,0.05,91.0,75.0,83.0,NO,Bradenton Beach
1970,9,14,0.0,93.0,73.0,83.0,NO,Palm Shores
1970,9,15,0.2,90.0,75.0,82.5,NO,Atlantis
1970,9,16,0.0,91.0,73.0,82.0,NO,Bowling Green
1970,9,17,0.0,90.0,75.0,82.5,NO,Malone
1970,9,18,0.0,93.0,72.0,82.5,NO,Sanford
1970,9,19,0.0,94.0,73.0,83.5,NO,Eagle Lake
1970,9,20,0.0,95.0,72.0,83.5,NO,Estero
1970,9,21,0.0,90.0,74.0,82.0,NO,Hampton
1970,9,22,0.27,92.0,71.0,81.5,NO,Perry
1970,9,23,0.0,92.0,71.0,81.5,NO,Dunedin
1970,9,24,0.15,89.0,71.0,80.0,NO,Pinecrest
1970,9,25,0.07,85.0,74.0,79.5,NO,Ocoee
1970,9,26,0.0,90.0,71.0,80.5,NO,Lake City
1970,9,27,0.0,92.0,71.0,81.5,NO,Venice
1970,9,28,0.98,84.0,71.0,77.5,NO,Casselberry
1970,9,29,1.78,74.0,71.0,72.5,NO,Crestview
1970,9,30,0.0,81.0,72.0,76.5,NO,Worthington Springs
1970,10,1,0.0,85.0,61.0,73.0,NO,Belle Glade
1970,10,2,0.0,87.0,64.0,75.5,NO,Belleview
1970,10,3,0.0,87.0,67.0,77.0,NO,Sebring
1970,10,4,0.0,88.0,65.0,76.5,NO,Palm Coast
1970,10,5,0.0,86.0,74.0,80.0,NO,Mulberry
1970,10,6,0.06,88.0,73.0,80.5,NO,Hallandale Beach
1970,10,7,0.11,88.0,72.0,80.0,NO,Hollywood
1970,10,8,0.17,90.0,71.0,80.5,NO,Marineland
1970,10,9,0.22,88.0,68.0,78.0,NO,Coconut Creek
1970,10,10,0.1,87.0,70.0,78.5,NO,Lauderdale-by-the-Sea
1970,10,11,0.0,88.0,71.0,79.5,NO,Pomona Park
1970,10,12,0.0,88.0,70.0,79.0,NO,Lake Worth Beach
1970,10,13,0.0,90.0,72.0,81.0,NO,South Palm Beach
1970,10,14,0.25,86.0,67.0,76.5,NO,Gainesville
1970,10,15,0.0,88.0,66.0,77.0,NO,Lantana
1970,10,16,0.0,87.0,65.0,76.0,NO,Raiford
1970,10,17,0.37,81.0,68.0,74.5,NO,Key Colony Beach
1970,10,18,0.0,82.0,65.0,73.5,NO,Jupiter Inlet Colony
1970,10,19,0.0,83.0,67.0,75.0,NO,Palm Beach Shores
1970,10,20,0.38,85.0,69.0,77.0,NO,Winter Park
1970,10,21,0.41,78.0,68.0,73.0,NO,Freeport
1970,10,22,0.0,84.0,69.0,76.5,NO,Ocala
1970,10,23,0.0,80.0,60.0,70.0,NO,Dunnellon
1970,10,24,0.0,86.0,62.0,74.0,NO,Orange City
1970,10,25,0.0,88.0,65.0,76.5,NO,Okeechobee
1970,10,26,0.0,83.0,62.0,72.5,NO,Longboat Key
1970,10,27,0.0,79.0,59.0,69.0,NO,West Palm Beach
1970,10,28,1.0,80.0,69.0,74.5,NO,Westville
1970,10,29,0.4,83.0,65.0,74.0,NO,Tamarac
1970,10,30,0.12,80.0,68.0,74.0,NO,Havana
1970,10,31,0.0,80.0,62.0,71.0,NO,Fort Walton Beach
1970,11,1,0.0,78.0,60.0,69.0,NO,Panama City Beach
1970,11,2,0.0,80.0,65.0,72.5,NO,Cocoa
1970,11,3,0.0,81.0,61.0,71.0,NO,Glen Ridge
1970,11,4,0.0,75.0,54.0,64.5,NO,Archer
1970,11,5,0.0,63.0,40.0,51.5,NO,San Antonio
1970,11,6,0.0,72.0,39.0,55.5,NO,North Miami Beach
1970,11,7,0.0,75.0,42.0,58.5,NO,Golf
1970,11,8,0.0,78.0,46.0,62.0,NO,Daytona Beach Shores
1970,11,9,0.0,83.0,52.0,67.5,NO,Maitland
1970,11,10,0.0,84.0,61.0,72.5,NO,Wausau
1970,11,11,0.0,76.0,56.0,66.0,NO,Wellington
1970,11,12,0.0,77.0,49.0,63.0,NO,Sweetwater
1970,11,13,0.0,83.0,49.0,66.0,NO,LaCrosse
1970,11,14,0.0,88.0,60.0,74.0,NO,Tarpon Springs
1970,11,15,0.32,82.0,62.0,72.0,NO,Plant City
1970,11,16,0.05,64.0,40.0,52.0,NO,Fort Meade
1970,11,17,0.0,64.0,36.0,50.0,NO,Lawtey
1970,11,18,0.0,70.0,40.0,55.0,NO,Lynn Haven
1970,11,19,0.0,75.0,38.0,56.5,NO,Lake Hamilton
1970,11,20,0.0,83.0,49.0,66.0,NO,Edgewater
1970,11,21,0.0,76.0,57.0,66.5,NO,Bushnell
1970,11,22,0.0,84.0,57.0,70.5,NO,Yankeetown
1970,11,23,0.0,78.0,56.0,67.0,NO,Bartow
1970,11,24,0.0,73.0,32.0,52.5,NO,Century
1970,11,25,0.0,62.0,30.0,46.0,NO,Biscayne Park
1970,11,26,0.0,71.0,46.0,58.5,NO,Horseshoe Beach
1970,11,27,0.0,76.0,52.0,64.0,NO,Lake Butler
1970,11,28,0.0,74.0,50.0,62.0,NO,Tampa
1970,11,29,0.0,74.0,54.0,64.0,NO,Miami
1970,11,30,0.0,76.0,57.0,66.5,NO,Bascom
1970,12,1,0.0,80.0,60.0,70.0,NO,DeBary
1970,12,2,0.0,80.0,64.0,72.0,NO,Davenport
1970,12,3,0.0,77.0,53.0,65.0,NO,Hialeah Gardens
1970,12,4,0.0,80.0,53.0,66.5,NO,Doral
1970,12,5,0.0,80.0,47.0,63.5,NO,Mascotte
1970,12,6,0.0,71.0,42.0,56.5,NO,Redington Shores
1970,12,7,0.0,72.0,40.0,56.0,NO,Titusville
1970,12,8,0.0,76.0,54.0,65.0,NO,Hillsboro Beach
1970,12,9,0.0,76.0,49.0,62.5,NO,Gulf Breeze
1970,12,10,0.0,74.0,49.0,61.5,NO,Dania Beach
1970,12,11,0.0,78.0,56.0,67.0,NO,Palm Beach
1970,12,12,0.0,81.0,55.0,68.0,NO,Oakland
1970,12,13,0.0,78.0,57.0,67.5,NO,Opa-locka
1970,12,14,0.0,72.0,46.0,59.0,NO,South Miami
1970,12,15,0.0,80.0,45.0,62.5,NO,Callaway
1970,12,16,0.0,83.0,57.0,70.0,NO,Branford
1970,12,17,0.54,78.0,57.0,67.5,NO,Wauchula
1970,12,18,0.0,73.0,41.0,57.0,NO,Williston
1970,12,19,0.0,78.0,49.0,63.5,NO,Kenneth City
1970,12,20,0.0,78.0,47.0,62.5,NO,Winter Springs
1970,12,21,0.0,80.0,52.0,66.0,NO,Lake Buena Vista
1970,12,22,0.0,83.0,55.0,69.0,NO,Gulf Stream
1970,12,23,0.0,84.0,58.0,71.0,NO,Clermont
1970,12,24,0.0,84.0,60.0,72.0,NO,Lake Park
1970,12,25,0.0,81.0,68.0,74.5,NO,Homestead
1970,12,26,0.45,77.0,36.0,56.5,NO,Jasper
1970,12,27,0.0,57.0,30.0,43.5,NO,Coral Springs
1970,12,28,0.0,65.0,34.0,49.5,NO,Neptune Beach
1970,12,29,0.0,75.0,40.0,57.5,NO,Lake Mary
1970,12,30,0.0,73.0,46.0,59.5,NO,Minneola
1970,12,31,0.27,68.0,50.0,59.0,NO,Marco Island
1971,1,1,0.0,63.0,38.0,50.5,NO,Trenton
1971,1,2,0.0,68.0,36.0,52.0,NO,Belle Isle
1971,1,3,0.0,79.0,48.0,63.5,NO,Royal Palm Beach
1971,1,4,0.0,81.0,55.0,68.0,NO,Golden Beach
1971,1,5,0.0,82.0,68.0,75.0,NO,Belleair
1971,1,6,0.0,84.0,63.0,73.5,NO,Ebro
1971,1,7,0.21,70.0,59.0,64.5,NO,Brooksville
1971,1,8,0.0,81.0,62.0,71.5,NO,Eustis
1971,1,9,0.05,81.0,60.0,70.5,NO,Pembroke Park
1971,1,10,0.0,70.0,59.0,64.5,NO,Pembroke Pines
1971,1,11,0.0,71.0,57.0,64.0,NO,Chiefland
1971,1,12,0.0,73.0,55.0,64.0,NO,Treasure Island
1971,1,13,0.0,73.0,57.0,65.0,NO,St. Pete Beach
1971,1,14,0.0,82.0,53.0,67.5,NO,Lake Wales
1971,1,15,0.0,80.0,55.0,67.5,NO,Palatka
1971,1,16,0.0,75.0,43.0,59.0,NO,McIntosh
1971,1,17,0.0,63.0,36.0,49.5,NO,Sunny Isles Beach
1971,1,18,0.0,70.0,43.0,56.5,NO,Greensboro
1971,1,19,0.0,64.0,47.0,55.5,NO,Bal Harbour
1971,1,20,0.0,50.0,27.0,38.5,NO,Chattahoochee
1971,1,21,0.0,64.0,28.0,46.0,NO,Miami Lakes
1971,1,22,0.0,75.0,35.0,55.0,NO,Cocoa Beach
1971,1,23,0.0,81.0,49.0,65.0,NO,Juno Beach
1971,1,24,0.0,84.0,52.0,68.0,NO,Plantation
1971,1,25,0.0,85.0,53.0,69.0,NO,Indian River Shores
1971,1,26,0.0,81.0,60.0,70.5,NO,Lake Alfred
1971,1,27,0.0,76.0,41.0,58.5,NO,Florida City
1971,1,28,0.0,64.0,30.0,47.0,NO,Baldwin
1971,1,29,0.0,70.0,43.0,56.5,NO,Monticello
1971,1,30,0.0,80.0,40.0,60.0,NO,Cinco Bayou
1971,1,31,0.17,81.0,56.0,68.5,NO,Melbourne Beach
1971,2,1,0.0,70.0,54.0,62.0,NO,Reddick
1971,2,2,0.0,70.0,39.0,54.5,NO,Valparaiso
1971,2,3,0.0,80.0,55.0,67.5,NO,Indian Shores
1971,2,4,0.0,80.0,59.0,69.5,NO,Ponce Inlet
1971,2,5,0.0,83.0,59.0,71.0,NO,Sarasota
1971,2,6,0.0,81.0,58.0,69.5,NO,Kissimmee
1971,2,7,0.4,84.0,63.0,73.5,NO,New Smyrna Beach
1971,2,8,2.65,80.0,60.0,70.0,NO,Sea Ranch Lakes
1971,2,9,0.0,69.0,34.0,51.5,NO,Belleair Beach
1971,2,10,0.0,56.0,30.0,43.0,NO,Lake Helen
1971,2,11,0.0,65.0,34.0,49.5,NO,Riviera Beach
1971,2,12,0.0,78.0,45.0,61.5,NO,Manalapan
1971,2,13,0.0,71.0,51.0,61.0,NO,Micanopy
1971,2,14,0.0,61.0,33.0,47.0,NO,Zolfo Springs
1971,2,15,0.0,65.0,31.0,48.0,NO,St. Petersburg
1971,2,16,0.0,69.0,35.0,52.0,NO,Melbourne
1971,2,17,0.0,74.0,42.0,58.0,NO,Niceville
1971,2,18,0.0,76.0,51.0,63.5,NO,Indialantic
1971,2,19,0.0,80.0,50.0,65.0,NO,Carrabelle
1971,2,20,0.0,85.0,53.0,69.0,NO,Hypoluxo
1971,2,21,0.0,85.0,56.0,70.5,NO,Atlantic Beach
1971,2,22,0.07,85.0,65.0,75.0,NO,Sopchoppy
1971,2,23,0.0,80.0,55.0,67.5,NO,Fernandina Beach
1971,2,24,0.0,74.0,46.0,60.0,NO,Edgewood
1971,2,25,0.0,81.0,56.0,68.5,NO,Starke
1971,2,26,0.0,80.0,55.0,67.5,NO,Bonita Springs
1971,2,27,0.0,88.0,67.0,77.5,NO,Bristol
1971,2,28,0.72,86.0,64.0,75.0,NO,Pierson
